rank,name,artist,year,pop_artist,artist_followers,available_market,pop_track,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,valence,lyrics
1,We Belong Together,Mariah Carey,2005,78.0,6995024.0,3.0,69.0,0.0339,0.837,201400.0,0.462,0.0,0.09,-7.89,0.0601,139.986,4.0,0.762,"Sweet love, yeah  I didn't mean it when I said I didn't love you so I shoulda held on tight, I never shoulda let you go I didn't know nothing, I was stupid, I was foolish I was lying to myself I couldn't have fathomed I would ever be without your love Never imagined I'd be sitting here beside myself Guess I didn't know you, guess I didn't know me But I thought I knew everything I never felt  The feeling that I'm feeling now that I don't hear your voice Or have your touch and kiss your lips 'cause I don't have a choice Oh, what I wouldn't give to have you lying by my side Right here, 'cause, baby We belong together  When you left, I lost a part of me Together It's still so hard to believe Come back, baby, please Come back, come back, come back, come back 'Cause we belong together Who else am I gonna lean on when times get rough? Who else Who's gonna talk to me on the phone 'til the sun comes up? Who else Who's gonna take your place? There ain't nobody better Who else Oh, baby, baby, we belong together I can't sleep at night, when you are on my mind Bobby Womack's on the radio Singing to me, ""If you think you're lonely now"" Wait a minute, this is too deep Too deep I gotta change the station So I turn the dial, tryin' to catch a break And then I hear Babyface, ""I only think of you"" And it's breaking my heart I'm tryna keep it together, but I'm falling apart  I'm feelin' all out of my element Throwin' things, cryin' Tryin' to figure out where the hell I went wrong The pain reflected in this song Ain't even half of what I'm feeling inside I need you, need you back in my life, baby My life, my life We belong together  When you left, I lost a part of me Together It's still so hard to believe Come back, baby, please Come back, come back, come back, come back 'Cause we belong together Who else am I gonna lean on when times get rough? Who will? Who's gonna talk to me on the phone 'til the sun comes up? Who will? Who's gonna take your place? There ain't nobody better Who will? Oh, baby, baby, we belong together, baby We belong together Who will? When you left, I lost a part of me Who will? It's still so hard to believe Who will? Come back, baby, please Come back, come back, come back, come back 'Cause we belong together Who am I gonna lean on when times get rough? Who will? Who's gonna talk to me 'til the sun comes up? Who will? Who's gonna take your place? There ain't nobody better Who will? Oh, baby, baby, we belong together  Who will? Who will? Who will? We belong together"
2,Hollaback Girl,Gwen Stefani,2005,75.0,4859586.0,165.0,68.0,0.35,0.926,199853.0,0.916,6.17e-06,0.0234,-2.221,0.0929,110.007,4.0,0.904,"Uh-huh, this my shit All the girls, stomp your feet like this  A few times I've been around that track So it's not just gonna happen like that 'Cause I ain't no Hollaback Girl I ain't no Hollaback Girl A few times I've been around that track So it's not just gonna happen like that 'Cause I ain't no Hollaback Girl I ain't no Hollaback Girl  Ooh, this my shit, this my shit Ooh, this my shit, this my shit Ooh, this my shit, this my shit Ooh, this my shit, this my shit  I heard that you were talking shit And you didn't think that I would hear it People hear you talking like that Getting everybody fired up So I'm ready to attack, gonna lead the pack Gonna get a touchdown, gonna take you out That's right, put your pom-poms down Getting everybody fired up A few times I've been around that track So it's not just gonna happen like that 'Cause I ain't no Hollaback Girl I ain't no Hollaback Girl A few times I've been around that track So it's not just gonna happen like that 'Cause I ain't no Hollaback Girl I ain't no Hollaback Girl  Ooh, this my shit, this my shit Ooh, this my shit, this my shit Ooh, this my shit, this my shit Ooh, this my shit, this my shit  So that's right, dude, meet me at the bleachers No principals, no student-teachers Both of us wanna be the winner But there can only be one So I'm gonna fight, gonna give it my all Gonna make you fall, gonna sock it to you That's right, I'm the last one standing And another one bites the dust A few times I've been around that track So it's not just gonna happen like that 'Cause I ain't no Hollaback Girl I ain't no Hollaback Girl A few times I've been around that track So it's not just gonna happen like that 'Cause I ain't no Hollaback Girl I ain't no Hollaback Girl  Ooh, this my shit, this my shit Ooh, this my shit, this my shit Ooh, this my shit, this my shit Ooh, this my shit, this my shit Let me hear you say, this shit is bananas B-A-N-A-N-A-S This shit is bananas B-A-N-A-N-A-S Again, the shit is bananas B-A-N-A-N-A-S This shit is bananas B-A-N-A-N-A-S A few times I've been around that track So it's not just gonna happen like that 'Cause I ain't no Hollaback Girl I ain't no Hollaback Girl A few times I've been around that track So it's not just gonna happen like that 'Cause I ain't no Hollaback Girl I ain't no Hollaback Girl  Ooh, this my shit, this my shit Ooh, this my shit, this my shit Ooh, this my shit, this my shit Ooh, this my shit, this my shit"
3,Let Me Love You,Mario,2005,67.0,2367100.0,143.0,72.0,0.235,0.656,256733.0,0.578,0.0,0.118,-8.97,0.0922,94.514,4.0,0.556,"Mmmm, ah Mmmm, yeah Mmmm Yeah, yeah, yeah Mmmm, ah Mmmm, yeah Mmmm Yeah, yeah  Baby, I just don't get it, do you enjoy being hurt? I know you smelled the perfume, the make-up on his shirt You don't believe his stories, you know that they're all lies Bad as you are, you stick around and I just don't know why  If I was ya' man, baby, you'd... Never worry 'bout what I do I'd be coming home, back to you, every night, doing you right You're the type of woman who deserves good things Fistful of diamonds, a hand full of rings Baby, you're a star, I just wanna show you you are  You should let me love you Let me be the one to Give you everything you want and need Baby, good love and protection Make me your selection Show you the way love's supposed to be Baby, you should let me love you, love you, love you Love you Yeah, listen Your true beauty’s description; looks so good that it hurts You're a dime, plus 99, and it's a shame Don't even know what you're worth Everywhere you go, they stop and stare, 'cause you're bad and it shows From your head to your toes, out of control Baby, you know  If I was ya' man, baby, you'd... Never worry 'bout what I do I'd be coming home, back to you, every night, doing you right You're the type of woman who deserves good things Fistful of diamonds, a hand full of rings Baby, you're a star, I just wanna show you you are  You should let me love you Let me be the one to Give you everything you want and need Ooh baby, good love and protection Make me your selection Show you the way love's supposed to be Baby, you should let me  You deserve better, girl Oh, you know you deserve better We should be together, girl Baby With me and you, it's whatever girl, hey So can we make this thing ours? You should let me love you Let me be the one to Let me be the one to give Give you everything you want and need Everything you need Baby, good love and protection Said everything Make me your selection Will you take me, baby? Show you the way love's supposed to be Oh Baby, you should let me love you Let me be the one to Give you everything you want and need Give you everything That good love and protection Make me your selection Show you the way love's supposed to be Hey You should let me love you Love you Let me be the one to give you everything you want and need The one to, everything you need Good love and protection Protection Make me your selection Selection, baby Show you the way love's supposed to be, yeah Oh Let me love you That's all you need, baby"
4,Since U Been Gone,Kelly Clarkson,2005,75.0,7955803.0,178.0,70.0,0.00165,0.662,188960.0,0.741,0.0303,0.114,-5.406,0.0334,131.0,4.0,0.404,"Here's the thing, we started out friends It was cool, but it was all pretend Yeah, yeah, since you been gone You dedicated, you took the time Wasn't long till I called you mine Yeah, yeah, since you been gone  And all you'd ever hear me say Is how I pictured me with you That's all you'd ever hear me say  But since you been gone I can breathe for the first time I'm so moving on, yeah, yeah Thanks to you, now I get what I want Since you been gone  How can I put it? You put me on I even fell for that stupid love song Yeah, yeah, since you been gone  How come I'd never hear you say ""I just wanna be with you"" Be with you I guess you never felt that way But since you been gone I can breathe for the first time I'm so moving on, yeah, yeah Thanks to you, now I get, I get what I want Since you been gone  You had your chance, you blew it Out of sight, out of mind Shut your mouth, I just can't take it Again and again and again and again  Since you been gone Since you been gone I can breathe for the first time I'm so moving on, yeah, yeah Thanks to you Thanks to you Now I get, I get what I want I can breathe for the first time I'm so moving on, yeah, yeah Thanks to you Thanks to you Now I get I get You should know You should know That I get, I get what I want Since you been gone Since you been gone Since you been gone"
5,"1, 2 Step",Ciara featuring Missy Elliott,2005,72.0,5209750.0,178.0,73.0,0.042,0.944,203787.0,0.511,0.00107,0.0379,-10.96,0.161,113.046,4.0,0.842,"Ladies and Gentlemen Ladies and Gentlemen This is a Jazze Phizzle Phizzle, phizzle Productshizzle, uh, oh Missy! Missy The princess is here, she's Ciara!  This beat is Automatic, supersonic, hypnotic, funky fresh Ha! Work my body, so melodic, this beat rolls right through my chest Yup Everybody, ma and papi, came to party, grab somebody Work ya body, work ya body Let me see you 1, 2 step Here we go!  Rock it, don't stop it Everybody get on the floor Crank the party up We about to get it on Let me see you 1, 2 step I love it when you 1, 2 step Everybody 1, 2 step We about to get it on  This beat is Outrageous, so contagious, make you crave it Jazze made it Ha! So retarded, top charted, ever since the day I started Strut my stuff, and yes, I flaunt it Goodies make the boys jump on it Ha! No, I can't control myself Now let me do my 1, 2 step Come on! Rock it, don't stop it Everybody get on the floor Crank the party up We about to get it on Let me see you 1, 2 step I love it when you 1, 2 step Everybody 1, 2 step We about to get it on  We gon' flip it like this, ooh, wee!  It don't matter to me, we can dance slow Ladies and gentlemen Whichever way the beat drops, our bodies will flow I like this So swing it over here Mr. DJ Hey, hey And we will, we will rock you, oh It don't matter to me, we can dance slow Yeah, dance slow Whichever way the beat drops, our bodies will flow So swing it over here Mr. DJ Ladies and gentlemen And we will, we will rock you  Let's shake! I shake it like Jello, make the boys say hello 'Cause they know I'm rockin the beat Uh-huh I know you heard about a lot of great MC's But they ain't got nothing on me Because I'm 5 foot 2, I wanna dance with you And I'm sophisticated fun I eat filet mignon, I'm nice and young Best believe I'm number one Rock it, don't stop it Everybody get on the floor Crank the party up We about to get it on Let me see you 1, 2 step I love it when you 1, 2 step Everybody 1, 2 step We about to get it on Rock it, don't stop it Everybody get on the floor Crank the party up We about to get it on Let me see you 1, 2 step I love it when you 1, 2 step Everybody 1, 2 step We about to get it on  This is for the hearing impaired A Jazze Pha Production"
6,Gold Digger,Kanye West featuring Jamie Foxx,2005,97.0,15018649.0,173.0,77.0,0.0195,0.629,207627.0,0.696,0.0,0.0554,-5.572,0.348,93.034,4.0,0.623,"She take my money when I'm in need Yeah, she's a triflin' friend indeed Oh, she's a gold digger Way over town that digs on me She give me money Now, I ain't sayin' she a gold digger When I'm in need But she ain't messin' with no broke niggas She give me money Now, I ain't sayin' she a gold digger When I'm in need But she ain't messin' with no broke niggas I gotta leave Get down girl, go 'head, get down I gotta leave Get down girl, go 'head, get down I gotta leave Get down girl, go 'head, get down I gotta leave Get down girl, go 'head  Cutie the bomb, met her at a beauty salon With a baby Louis Vuitton under her underarm She said: ""I can tell you rock, I can tell by your charm Far as girls, you got a flock I can tell by your charm and your arm"" But I'm lookin' for the one, have you seen her? My psychic told me she'll have a ass like Serena Trina, Jennifer Lopez, four kids And I gotta take all they bad asses to ShowBiz? Okay, get your kids, but then they got their friends I pulled up in the Benz, they all got up in We all went to din' and then I had to pay If you fuckin' with this girl, then you better be paid You know why? It take too much to touch her From what I heard she got a baby by Busta My best friend said she used to fuck with Usher I don't care what none of y'all say, I still love her She give me money Now, I ain't sayin' she a gold digger When I'm in need But she ain't messin' with no broke niggas She give me money Now, I ain't sayin' she a gold digger When I'm in need But she ain't messin' with no broke niggas I gotta leave Get down girl, go 'head, get down I gotta leave Get down girl, go 'head, get down I gotta leave Get down girl, go 'head, get down I gotta leave Get down girl, go 'head Eighteen years, eighteen years She got one of your kids, got you for eighteen years I know somebody payin' child support for one of his kids His baby mama car and crib is bigger than his You will see him on TV any given Sunday Win the Super Bowl and drive off in a Hyundai She was supposed to buy your shorty Tyco with your money She went to the doctor, got lipo with your money She walkin' around lookin' like Michael with your money Shoulda got that insured, Geico for your money If you ain't no punk Holla, ""We want prenup! We want prenup!"" Yeah! It's somethin' that you need to have ‘Cause when she leave yo' ass, she gon' leave with half Eighteen years, eighteen years And on the 18th birthday, he found out it wasn't his? She give me money Now, I ain't sayin' she a gold digger When I'm in need But she ain't messin' with no broke niggas She give me money Now, I ain't sayin' she a gold digger When I'm in need But she ain't messin' with no broke niggas I gotta leave Get down girl, go 'head, get down I gotta leave Get down girl, go 'head, get down I gotta leave Get down girl, go 'head, get down I gotta leave Get down girl, go 'head Now, I ain't sayin' you a gold digger, you got needs You don't want a dude to smoke, but he can't buy weed You go out to eat, he can't pay, y'all can't leave There's dishes in the back, he gotta roll up his sleeves But while y'all washin', watch him He gon' make it to a Benz out of that Datsun He got that ambition, baby, look at his eyes This week he moppin' floors, next week it's the fries So stick by his side I know there's dudes ballin', and yeah, that's nice And they gonna keep callin' and tryin', but you stay right, girl And when he get on, he'll leave yo' ass for a white girl I gotta leave Get down girl, go 'head, get down I gotta leave Get down girl, go 'head, get down I gotta leave Get down girl, go 'head, get down I gotta leave Get down girl, go 'head Let me hear that back"
7,Boulevard of Broken Dreams,Green Day,2005,81.0,12498278.0,164.0,74.0,0.00552,0.496,262333.0,0.682,2.94e-05,0.0589,-4.095,0.0294,167.06,4.0,0.474,"I walk a lonely road The only one that I have ever known Don't know where it goes But it's home to me, and I walk alone I walk this empty street On the Boulevard of Broken Dreams Where the city sleeps And I'm the only one, and I walk alone I walk alone, I walk alone I walk alone, I walk a-  My shadow's the only one that walks beside me My shallow heart's the only thing that's beating Sometimes I wish someone out there will find me 'Til then I walk alone  Ah-ah, ah-ah, ah-ah, ah-ah Ah-ah, ah-ah, ah-ah  I'm walking down the line That divides me somewhere in my mind On the borderline Of the edge and where I walk alone Read between the lines What's fucked up, and everything's all right Check my vital signs To know I'm still alive, and I walk alone I walk alone, I walk alone I walk alone, I walk a- My shadow's the only one that walks beside me My shallow heart's the only thing that's beating Sometimes I wish someone out there will find me 'Til then I walk alone  Ah-ah, ah-ah, ah-ah, ah-ah Ah-ah, ah-ah I walk alone, I walk a-   I walk this empty street On the Boulevard of Broken Dreams Where the city sleeps And I'm the only one, and I walk a-  My shadow's the only one that walks beside me My shallow heart's the only thing that's beating Sometimes I wish someone out there will find me 'Til then I walk alone"
8,Candy Shop,50 Cent featuring Olivia,2005,83.0,7581484.0,172.0,78.0,0.0253,0.614,209107.0,0.574,3.2e-05,0.38,-7.961,0.466,125.173,5.0,0.755,"Yeah, uh-huh So seductive  I'll take you to the candy shop I'll let you lick the lollipop Go ahead, girl, don't you stop Keep goin' until you hit the spot, whoa I'll take you to the candy shop Yeah Want one taste of what I got? Uh-huh I'll have you spendin' all you got Come on Keep goin' until you hit the spot, whoa  You could have it your way, how do you want it? You gon' back that thing up or should I push up on it? Temperature risin', okay, let's go to the next level Dance floor jam-packed, hot as a tea kettle I'll break it down for you now, baby, it's simple If you be a nympho, I be a nympho In the hotel or in the back of the rental On the beach or in the park, it's whatever you into Got the magic stick, I'm the love doctor Have your friends teasin' you 'bout how sprung I got you Wanna show me you could work it, baby? No problem Get on top, then get to bounce around like a low rider I'm a seasoned vet when it come to this shit After you work up a sweat, you could play with the stick I'm tryin' to explain, baby, the best way I can I'll melt in your mouth, girl, not in your hand Ha-ha I'll take you to the candy shop I'll let you lick the lollipop Go ahead, girl, don't you stop Keep goin' until you hit the spot, whoa I'll take you to the candy shop Want one taste of what I got? I'll have you spendin' all you got Keep goin' until you hit the spot, whoa  Girl, what we do What we do And where we do And where we do The things we do Things we do Are just between me and you, yeah Oh yeah  Give it to me, baby, nice and slow Climb on top, ride like you in a rodeo You ain't never heard a sound like this before 'Cause I ain't never put it down like this Soon as I come through the door She get to pullin' on my zipper It's like it's a race, who can get undressed quicker Isn't it ironic, how erotic it is to watch her in thongs? Had me thinkin' 'bout that ass after I'm gone I touched the right spot at the right time Lights on or lights off, she like it from behind So seductive, you should see the way she whine Her hips in slow-mo on the floor when we grind Long as she ain't stoppin', homie, and I ain't stoppin' Drippin' wet with sweat, man, it's on and poppin' All my champagne campaign, bottle after bottle, it's on And we gon' sip 'til every bubble in every bottle is gone I'll take you to the candy shop I'll let you lick the lollipop Go ahead, girl, don't you stop Keep goin' until you hit the spot, whoa I'll take you to the candy shop Want one taste of what I got? I'll have you spendin' all you got Keep goin' until you hit the spot, whoa I'll take you to the candy shop I'll let you lick the lollipop Go ahead, girl, don't you stop Keep goin' until you hit the spot, whoa I'll take you to the candy shop Want one taste of what I got? I'll have you spendin' all you got Keep goin' until you hit the spot, whoa"
9,Don't Cha,The Pussycat Dolls featuring Busta Rhymes,2005,71.0,4515300.0,3.0,67.0,0.00516,0.877,272080.0,0.637,2.5e-06,0.0959,-3.493,0.101,119.988,4.0,0.569,"Okay Ahh Yeah Ahh Oh, we about to get it just a little hot and sweaty in this motherfucker Ooh, baby Ladies, let's go Uhh Soldiers, let's go Dolls Let me talk to y'all and just, you know give you a little situation Listen Fellas You see this shit get hot, every time I come through When I step up in the spot Are you ready? Make the place sizzle like a summertime cookout Prowl for the best chick, yes, I'm on the lookout Let's dance Slow bangin' shorty like a belly dancer wit' it Smell good, pretty skin, so gangsta wit' it Ooh, baby No tricks, only diamonds under my sleeve Gimme the number, but make sure you call before you leave  I know you like me I know you like me I know you do I know you do That's why whenever I come around, she's all over you And I know you want it I know you want it It's easy to see It's easy to see And in the back of your mind I know you should be fuckin' with me Don't cha wish your girlfriend was hot like me? Don't cha wish your girlfriend was a freak like me? Don't cha? Don't cha? Don't cha wish your girlfriend was raw like me? Don't cha wish your girlfriend was fun like me? Don't cha? Ah-ah-ah Don't cha?  Fight the feeling Fight the feeling Leave it alone Leave it alone 'Cause if it ain't love It just ain't enough to leave a happy home Uh-uh, uh-uh Let's keep it friendly Let's keep it friendly You have to play fair You have to play fair, yeah See, I don't care But I know, she ain't gon' wanna share Ah, ah-ah  Don't cha wish your girlfriend was hot like me? Oh Don't cha wish your girlfriend was a freak like me? Like me Don't cha? Don't cha, baby? Don't cha? Alright, sing Don't cha wish your girlfriend was raw like me? Raw Don't cha wish your girlfriend was fun like me? Big fun Don't cha? Ah-ah-ah Don't cha? Okay, I see how it's goin' down Seem like shorty wanna little ménage pop off or somethin' Let's go Well, let me get straight to it Every broad wanna watch a nigga when I come through it It's the God almighty, lookin' all brand new If shorty wanna jump in my Aston Vanquish Lookin' at me all like she really wanna do it Tryna put it on me 'til my balls black and blueish You wanna play with a player, girl, then play on Strip out the Chanel and leave the lingerie on Ha Watch me and I'ma watch you at the same time Lookin' at you wanna break my back You're the very reason why I keep a pack of the Magnum And with the wagon, hit you in the back of the Magnum For the record, don't think it was something you did Shorty all on me 'cause it's hard to resist the kid I got a idea that's dope for y'all As y'all could get cold so I could hit the both of y'all  See, I know she loves ya I know she loves ya I understand I understand, yeah I'd probably be just as crazy about you if you were my own man Maybe next lifetime Maybe next lifetime Possibly Possibly Until then, old friend, your secret is safe with me Shh, hot Don't cha wish your girlfriend was hot like me? Oh Don't cha wish your girlfriend was a freak like me? Like me Don't cha? Don't cha, baby? Don't cha? Alright, sing Don't cha wish your girlfriend was raw like me? Raw Don't cha wish your girlfriend was fun like me? Big fun Don't cha? Ah-ah-ah Don't cha?"
10,Behind These Hazel Eyes,Kelly Clarkson,2005,75.0,7955803.0,178.0,59.0,0.00165,0.548,198973.0,0.889,0.00109,0.197,-4.682,0.0382,90.048,4.0,0.425,"Seems like just yesterday You were a part of me I used to stand so tall I used to be so strong Your arms around me tight Everything, it felt so right Unbreakable, like nothing could go wrong  Now I can't breathe No, I can't sleep I'm barely hangin' on  Here I am, once again I'm torn into pieces Can't deny it, can't pretend Just thought you were the one Broken up, deep inside But you won't get to see the tears I cry Behind these hazel eyes  I told you everything Opened up and let you in You made me feel alright for once in my life Now all that's left of me Is what I pretend to be So together, but so broken up inside 'Cause I can't breathe No, I can't sleep I'm barely hangin' on  Here I am, once again I'm torn into pieces Can't deny it, can't pretend Just thought you were the one Broken up, deep inside But you won't get to see the tears I cry Behind these hazel eyes  Swallow me then spit me out For hating you, I blame myself Seeing you, it kills me now No, I don't cry on the outside Anymore Anymore  Here I am, once again I'm torn into pieces Can't deny it, can't pretend Just thought you were the one Broken up, deep inside But you won't get to see the tears I cry Behind these hazel eyes Here I am, once again I'm torn into pieces Can't deny it, can't pretend Just thought you were the one Broken up, deep inside But you won't get to see the tears I cry Behind these hazel eyes"
